severity,top_error_px,wrong_segment,wrong_material,player_x_q8,player_y_q8,angle,physical_column,actual_top,expected_top,actual_style,actual_face_key,actual_along,actual_segment,expected_axis,expected_material,expected_cell_x,expected_cell_y,expected_segment,pair_index,total_casts,edge_recasts,map_neighborhood
41.0,41.0,True,False,2688,2944,12,153,41,0.0,1,175,14,H:15:1-14:m1:N,1,1,10,12,H:12:7-10:m1:N,76,50,6,00010/11110/00P00/11100/00000
38.97575753067744,38.97575753067744,True,False,2688,2944,48,23,41,2.0242424693225587,1,175,14,H:15:1-14:m1:N,1,1,10,12,H:12:7-10:m1:N,11,47,4,00010/11110/00P00/11100/00000
38.36384989182971,38.36384989182971,True,False,3712,3200,116,6,0,38.36384989182971,5,46,12,V:14:10-12:m1:E,1,1,12,15,H:15:1-14:m1:N,3,44,2,0101#/0101#/01P1#/0001#/0001#
38.36384989182971,38.36384989182971,True,False,3200,3200,12,153,0,38.36384989182971,5,45,12,V:13:10-12:m1:W,1,1,14,15,H:15:1-14:m1:N,76,44,2,11010/00010/10P10/00000/00000
38.36384989182971,38.36384989182971,True,False,2944,3200,116,6,0,38.36384989182971,5,43,12,V:11:12-12:m1:E,1,1,9,15,H:15:1-14:m1:N,3,44,2,11101/00001/11P01/00000/00000
38.36384989182971,38.36384989182971,True,False,384,3200,12,153,0,38.36384989182971,5,34,12,V:2:12-12:m1:W,1,1,3,15,H:15:1-14:m1:N,76,44,2,#1011/#1000/#1P11/#1000/#1000
38.35868805365284,38.35868805365284,True,False,2688,2944,44,38,42,3.641311946347159,1,175,14,H:15:1-14:m1:N,1,1,10,12,H:12:7-10:m1:N,19,47,4,00010/11110/00P00/11100/00000
38.0,38.0,True,False,3456,3456,140,153,38,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,76,58,10,00101/00101/00P01/00001/11111
38.0,38.0,True,False,3392,3392,176,23,38,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,11,44,2,00101/00101/00P01/00001/11111
38.0,38.0,True,False,3392,3392,172,38,38,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,19,44,2,00101/00101/00P01/00001/11111
38.0,38.0,True,False,3392,3392,164,66,38,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,33,47,4,00101/00101/00P01/00001/11111
38.0,38.0,True,False,3392,3392,152,107,38,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,53,51,6,00101/00101/00P01/00001/11111
38.0,38.0,True,False,2752,3392,232,52,38,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,26,49,6,00000/11100/00P00/00000/11111
38.0,38.0,True,False,2752,3392,220,93,38,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,46,44,2,00000/11100/00P00/00000/11111
38.0,38.0,True,False,2752,3392,212,121,38,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,60,44,2,00000/11100/00P00/00000/11111
38.0,38.0,True,False,2752,3392,208,136,38,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,68,44,2,00000/11100/00P00/00000/11111
38.0,38.0,True,False,2688,3456,244,6,38,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,3,50,6,00000/11100/00P00/00000/11111
37.33525062120493,37.33525062120493,True,False,2688,2944,24,107,42,4.664749378795072,1,175,14,H:15:1-14:m1:N,1,1,10,12,H:12:7-10:m1:N,53,50,6,00010/11110/00P00/11100/00000
37.0,37.0,True,False,3392,3392,140,153,37,0.0,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,76,58,10,00101/00101/00P01/00001/11111
37.0,37.0,True,False,2752,3392,244,6,37,0.0,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,3,50,6,00000/11100/00P00/00000/11111
36.975757530677434,36.975757530677434,True,False,2688,3456,208,136,39,2.024242469322566,5,45,11,V:13:10-12:m1:W,1,1,10,12,H:13:2-10:m1:S,68,44,2,00000/11100/00P00/00000/11111
36.97575753067742,36.97575753067742,True,False,3456,3456,176,23,39,2.02424246932258,5,171,10,H:11:8-11:m1:S,1,1,13,12,H:13:13-13:m1:S,11,44,2,00101/00101/00P01/00001/11111
36.80484849386451,36.80484849386451,True,False,3712,3200,80,136,2,38.80484849386451,5,46,12,V:14:10-12:m1:E,1,1,12,15,H:15:1-14:m1:N,68,44,2,0101#/0101#/01P1#/0001#/0001#
36.80484849386451,36.80484849386451,True,False,3200,3200,48,23,2,38.80484849386451,5,45,12,V:13:10-12:m1:W,1,1,14,15,H:15:1-14:m1:N,11,44,2,11010/00010/10P10/00000/00000
